Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.8329858008564304), np.float64(7.774429531193201), np.float64(7.116724523186175))",0.019805068836742268,7.916930829636828e-08,132021.42701047292,132045.38345707319
Weibull,"(np.float64(1.1003594511523533), np.float64(0.01429654112084153), np.float64(8.046870072101033))",0.017832800132941473,1.9909842969850234e-06,132059.11328030194,132083.0697269022
Exponential,"(0.016666666666666666, 7.757751009565926)",0.05084694115851429,3.2189834113537527e-49,132372.12982895784,132388.10079335803
Lognormal,"(np.float64(0.7708130025215718), -1.1386262753589018, np.float64(6.709626784447243))",0.03683702338238648,4.962218794123459e-26,132959.40074761104,132983.3571942113
Generalized Extreme Value,"(np.float64(-0.3041138819888861), np.float64(4.1955213333716035), np.float64(3.7859090505151025))",0.037386671418513595,8.429046249809696e-27,133765.881775851,133789.83822245128
Normal,"(np.float64(7.774417676232592), np.float64(7.770380983041417))",0.15904887266349754,0.0,150632.2320754918,150648.203039892
Gamma,"(np.float64(0.06992538693193653), np.float64(0.016666666666666663), np.float64(3.007000942970535))",0.860397350170163,0.0,290370.4121743911,290394.36862099136
