Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.871998112946367), np.float64(8.034218641336675), np.float64(7.508973188744413))",0.017338781593883523,0.0006714709250500915,81753.6698915369,81776.1528382844
Weibull,"(np.float64(1.076427272125887), np.float64(0.014706771272225916), np.float64(8.252718834913477))",0.016429692309680666,0.0015189369717930742,81766.49882256915,81788.98176931664
Exponential,"(0.016666666666666666, 8.01756749974907)",0.042466914527704736,2.9651439804178477e-21,81876.88058231372,81891.86921347871
Lognormal,"(np.float64(0.8145917742532122), -0.9959631657564355, np.float64(6.604477416099678))",0.03424058330150381,5.75526218669179e-14,82409.79145802147,82432.27440476896
Generalized Extreme Value,"(np.float64(-0.34308513840252153), np.float64(4.184807506547717), np.float64(3.8651931953531706))",0.03852402885749728,1.4469457529149036e-17,82972.60657551525,82995.08952226274
Normal,"(np.float64(8.034234166415738), np.float64(8.064486191654321))",0.1600671200818653,8.383396581772905e-298,93162.2619403456,93177.2505715106
Gamma,"(np.float64(0.07342466609470483), np.float64(0.016666666666666663), np.float64(3.0235434066742335))",0.8556725346860433,0.0,178162.1646963197,178184.64764306718
