Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.895185850813681), np.float64(13.593445705907913), np.float64(12.867511783288869))",0.028334509072345915,9.904598720010144e-223,2297968.2896577693,2298000.305871942
Lognormal,"(np.float64(0.8466082893197447), -1.3559583144911806, np.float64(10.530392371828668))",0.027879211530024206,1.2128994255040377e-215,2299059.7499857037,2299091.7661998766
Exponential,"(0.016666666666666666, 13.576797104677759)",0.03935455930737594,0.0,2300125.6432831543,2300146.9874259364
Generalized Extreme Value,"(np.float64(-0.38113043340782327), np.float64(6.788105287130133), np.float64(6.237029927586928))",0.030007682851190598,9.145094522661657e-250,2309324.5715579,2309356.5877720728
Normal,"(np.float64(13.593463771344426), np.float64(17.44477476581728))",0.21820404606824562,0.0,2726967.2963548037,2726988.6404975858
Weibull,"(np.float64(0.27907525677542766), np.float64(0.016666666666666663), np.float64(0.6742693741301193))",0.6360109873796991,0.0,3033380.3551398753,3033412.371354048
Gamma,"(np.float64(0.0030235378249210084), np.float64(0.016666666666666663), np.float64(3.4213926582997565))",0.986499560229096,0.0,7543075.603442926,7543107.619657098
