Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Weibull,"(np.float64(1.0810921493492707), np.float64(0.015301204138434414), np.float64(7.3967767206226505))",0.01346185138462147,0.04099056460864503,63490.01391475087,63511.84819217295
Pearson Type III,"(np.float64(1.8764725412552337), np.float64(7.194390530522595), np.float64(6.73719811102597))",0.016060021096291566,0.007924013546215641,63493.68124468246,63515.51552210454
Exponential,"(0.016666666666666666, 7.17767186867271)",0.04124085082430301,2.9841001127086433e-16,63588.80862374345,63603.3648086915
Lognormal,"(np.float64(0.8166002120302489), -0.8977630954758595, np.float64(5.9233823981978775))",0.03538237068407646,4.4827857450871e-12,64110.13781325868,64131.97209068076
Generalized Extreme Value,"(np.float64(-0.3462072920822773), np.float64(3.7428274598312194), np.float64(3.4721929979072))",0.03771256575487625,1.1663463174479257e-13,64582.62993285161,64604.46421027369
Normal,"(np.float64(7.1943385353393765), np.float64(6.881939304117469))",0.14848056761477235,2.1338576724982715e-206,71654.4507280612,71669.00691300926
Gamma,"(np.float64(0.27932301945309757), np.float64(0.016666666666666663), np.float64(2.862724707167639))",0.6792752287662921,0.0,106920.96325770952,106942.7975351316
