Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.930141618810028), np.float64(7.127821898249781), np.float64(6.864165862953538))",0.022608670204204206,4.161394736762475e-77,1022372.6906924233,1022402.8682787722
Lognormal,"(np.float64(0.8313578379666455), -0.8099123919127419, np.float64(5.625686683727336))",0.035358602486102786,5.240302176662375e-188,1022819.5431371473,1022849.7207234963
Exponential,"(0.016666666666666666, 7.111182727202532)",0.03275000305080933,2.4094296128194994e-161,1022845.8597477456,1022865.978138645
Generalized Extreme Value,"(np.float64(-0.35148615201235783), np.float64(3.5943585238790976), np.float64(3.339359373799395))",0.036875740746849295,1.8719426992890116e-204,1029467.3018206195,1029497.4794069685
Normal,"(np.float64(7.127849393869199), np.float64(12.425048166082528))",0.28355044360875725,0.0,1360257.193768798,1360277.3121596973
Weibull,"(np.float64(0.2714877055319011), np.float64(0.016666666666666663), np.float64(0.28633664976308193))",0.6445950162646488,0.0,1425492.613902926,1425522.791489275
Gamma,"(np.float64(0.0027249272349824626), np.float64(0.016666666666666663), np.float64(3.0042469040820183))",0.9855538805894634,0.0,3326840.357202367,3326870.534788716
