Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.9102605654998528), np.float64(14.88826673596541), np.float64(14.20596929708593))",0.02713188087685725,4.6614254167956993e-262,3024889.197557061,3024921.9627311053
Weibull,"(np.float64(1.0280190906655755), np.float64(0.0163211276338849), np.float64(15.051120144006486))",0.02874147057088594,5.0098672314502756e-294,3026390.0257023387,3026422.790876383
Exponential,"(0.016666666666666666, 14.871605508623722)",0.0360279070834611,0.0,3026926.632843,3026948.476292363
Lognormal,"(np.float64(0.8710857628070802), -1.3369702271306416, np.float64(11.246757560078875))",0.024254780034817014,1.6610098112948348e-209,3028196.7218146613,3028229.4869887056
Generalized Extreme Value,"(np.float64(-0.4070034139350239), np.float64(7.276699882526945), np.float64(6.763220458269829))",0.02737767342492714,8.053300390084468e-267,3042211.3181480924,3042244.0833221367
Normal,"(np.float64(14.888272175290389), np.float64(16.890190442962826))",0.18929757358188076,0.0,3473846.418947906,3473868.262397269
Gamma,"(np.float64(0.03177969764798724), np.float64(0.016666666666666663), np.float64(3.4249596233834243))",0.9289756610886126,0.0,8098814.857175573,8098847.622349617
