Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Weibull,"(np.float64(1.1555836925701453), np.float64(0.00814490146821945), np.float64(9.877733420840974))",0.019802877977739664,0.0010941963570177049,61655.10406190394,61676.599777098134
Pearson Type III,"(np.float64(1.7918547970598309), np.float64(9.406422750485078), np.float64(8.43041914454972))",0.028377761132427348,4.0319378472991996e-07,61711.1981399087,61732.693855102894
Exponential,"(0.016666666666666666, 9.389699061966034)",0.06518302148805,9.380743383679203e-36,61938.925997409555,61953.256474205686
Lognormal,"(np.float64(0.7256693912526067), -1.7227682188386098, np.float64(8.690777925422532))",0.03911336049254022,3.8329207450815783e-13,62341.00823683765,62362.503952031846
Generalized Extreme Value,"(np.float64(-0.25714845434267253), np.float64(5.29727849659565), np.float64(4.741582902969628))",0.038400797088589234,1.1031369481241815e-12,62722.56571968403,62744.061434878226
Normal,"(np.float64(9.406365728632702), np.float64(8.134417233205786))",0.12418503999701669,6.020468744318103e-129,67204.58508320324,67218.91555999937
Gamma,"(np.float64(0.4330430887351726), np.float64(0.016666666666666663), np.float64(2.950753263625299))",0.6511555136766314,0.0,102036.97572114276,102058.47143633696
