Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.75136513194454), np.float64(9.87736185298425), np.float64(8.656461030236004))",0.024712606882365873,6.752692946645344e-07,79716.03949688558,79738.26337978376
Weibull,"(np.float64(1.15506735454719), np.float64(0.012616613296182664), np.float64(10.38453514302011))",0.024234659053273655,1.1947466656357024e-06,79746.8840388517,79769.10792174988
Lognormal,"(np.float64(0.7027355680629872), -1.8391653659501386, np.float64(9.219570067887112))",0.03223048044153787,1.972010651683924e-11,80122.18816798733,80144.41205088551
Exponential,"(0.016666666666666666, 9.860686636575021)",0.0739959082170345,1.818316017654327e-58,80146.10496267775,80160.92088460988
Generalized Extreme Value,"(np.float64(-0.25210296325006915), np.float64(5.619456594785384), np.float64(4.858480401666884))",0.033848896543325124,1.4522534252015852e-12,80469.74349549363,80491.96737839181
Normal,"(np.float64(9.877353303241689), np.float64(9.444569202158686))",0.1482290672935661,3.701574423056683e-234,89304.90214199189,89319.71806392401
Gamma,"(np.float64(0.044122710824214206), np.float64(0.016666666666666663), np.float64(3.2476310320846586))",0.9055510394789028,0.0,193138.12799786442,193160.35188076258
