Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Lognormal,"(np.float64(0.9632012821350838), -0.47646141544286763, np.float64(5.051483103570579))",0.03796420312866533,1.9121297676822666e-94,450595.289447524,450622.9679763957
Generalized Extreme Value,"(np.float64(-0.45783889546646583), np.float64(3.342445595470478), np.float64(3.2682318029292974))",0.04018506769487651,9.042849524526663e-106,452995.0281486147,453022.70667748636
Pearson Type III,"(np.float64(2.126860413156641), np.float64(7.971040721240089), np.float64(8.458921644056248))",0.0561404966721708,4.276256354724113e-206,460341.5611045549,460369.2396334266
Exponential,"(0.016666666666666666, 8.0016027263443)",0.05714450391928505,1.5989867008438296e-213,462381.42922183755,462399.8815744187
Weibull,"(np.float64(0.42494610906154984), np.float64(0.016666666666666663), np.float64(1.6768405328761045))",0.4375974873636494,0.0,524507.6651992236,524535.3437280953
Normal,"(np.float64(8.018269393010968), np.float64(23.26958239018805))",0.36547378156051163,0.0,685556.0865914442,685574.5389440253
Gamma,"(np.float64(0.005849256270168081), np.float64(0.016666666666666663), np.float64(3.099725966399986))",0.9730970511974802,0.0,1358918.9802592464,1358946.658788118
