date,traffic,df,nc,loc,scale
2015-03-01,4505,3.3951258760837475,1.5266767545425022,-10.16757421505682,9.664551641522115
2015-03-02,5024,2.421354333424569,1.3973262900055483,-8.856268885512854,10.096887749142311
2015-03-03,4733,4.1317232528988415,1.2728079233845104,-10.257440088145945,10.582314796868241
2015-03-04,4813,2.666582808481852,0.9494909696733147,-6.545672284558064,8.902324656471729
2015-03-05,4982,3.658246230657855,1.017960495947782,-6.573519635514894,9.457738068217548
2015-03-06,5101,2.8458239237806904,1.1896093954310507,-7.018894030957163,8.988916852323463
2015-03-07,4322,3.9895298818767464,1.7363495277462777,-15.356106413670087,10.397541531059236
2015-03-08,4769,4.520128942026999,1.998621266554971,-16.919937909229002,10.319915244619052
2015-03-09,5034,4.163163254451658,1.3019748489024263,-10.017274668801969,9.409189539424966
2015-03-10,4759,4.079319821756604,1.041761300747224,-9.168131885804629,9.001201481783225
