Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.9535820687784513), np.float64(11.877689372524365), np.float64(11.586538863387092))",0.024037532183709742,4.714581295583882e-124,1710533.1911227696,1710564.4338811743
Weibull,"(np.float64(0.9880167581951456), np.float64(0.016666666666666663), np.float64(11.819357297263757))",0.02812839841421136,1.0152890048279404e-169,1710760.7913522096,1710792.0341106143
Exponential,"(0.016666666666666666, 11.861021085156748)",0.02443673660286938,3.40887821792948e-128,1710840.3322851222,1710861.1607907254
Lognormal,"(np.float64(0.9019329997869842), -0.9866794262787763, np.float64(8.734022066961238))",0.02896706968234941,5.742789463762506e-180,1715616.3539743556,1715647.5967327603
Generalized Extreme Value,"(np.float64(-0.4279420073631154), np.float64(5.659717406713149), np.float64(5.398316130309472))",0.03189479158694808,4.2121843711397324e-218,1725743.1988337745,1725774.4415921792
Normal,"(np.float64(11.877687751823416), np.float64(13.449280216355241))",0.18891341561030944,0.0,1979099.402181688,1979120.2306872911
Gamma,"(np.float64(0.07559343343408673), np.float64(0.016666666666666663), np.float64(3.273639240315118))",0.865458596354972,0.0,3941459.389048634,3941490.6318070386
