Distribution,Parameters,KS Statistic,P-value,AIC,BIC
Pearson Type III,"(np.float64(1.7964650009061098), np.float64(11.36392507096592), np.float64(10.20308166171585))",0.021416065066166667,1.4062354193688986e-09,156878.05885700943,156902.1831222253
Weibull,"(np.float64(1.1199751200832482), np.float64(0.014135329479795716), np.float64(11.842984171909546))",0.024310395058645518,3.2172133871970493e-12,156974.35045162556,156998.47471684145
Exponential,"(0.016666666666666666, 11.347260940267734)",0.06171481421701763,1.860212210241955e-76,157448.87982933005,157464.9626728073
Lognormal,"(np.float64(0.757446832206776), -1.6619846758353582, np.float64(9.871788442234415))",0.03149211745996894,3.2442865783735065e-20,157535.4226429278,157559.54690814367
Generalized Extreme Value,"(np.float64(-0.3009865449589264), np.float64(6.190812701528859), np.float64(5.463027105723981))",0.03282441567384642,6.32757459893218e-22,158235.12663737682,158259.2509025927
Normal,"(np.float64(11.363927606934402), np.float64(11.076495831104413))",0.1528125645876624,0.0,175575.94340560387,175592.02624908113
Gamma,"(np.float64(0.12375259497565502), np.float64(0.016666666666666663), np.float64(3.2385497397759355))",0.8356824353785335,0.0,338855.2065117855,338879.3307770014
