source,target,best_lag,p_value
EHAM,LEBL,3,0.056106054568120824
EHAM,EGLL,4,9.260381698833019e-10
EHAM,EGKK,2,7.4196742430296865e-09
EHAM,LFPG,1,1.0612794185781144e-05
EHAM,LIRF,3,0.03241822680108341
EHAM,EDDF,7,0.4210059202945954
EHAM,LEMD,3,0.04634760188870681
EHAM,EIDW,3,4.115419128133187e-09
EHAM,EDDM,1,0.06454096252560436
LEBL,EHAM,8,0.0003719163263042797
LEBL,EGLL,8,1.2127125506023229e-17
LEBL,EGKK,3,0.003326333850200257
LEBL,LFPG,6,5.224266826447685e-06
LEBL,LIRF,4,3.091874490808231e-11
LEBL,EDDF,4,2.8478512320312596e-14
LEBL,LEMD,6,0.6004412762061939
LEBL,EIDW,6,2.3687355770342905e-08
LEBL,EDDM,8,1.2022918162918029e-14
EGLL,EHAM,5,0.005280072842291998
EGLL,LEBL,4,3.8597829707450575e-06
EGLL,EGKK,2,2.253612599243533e-14
EGLL,LFPG,4,0.0027448255947766054
EGLL,LIRF,7,0.3517463155923939
EGLL,EDDF,5,0.00026205478099417684
EGLL,LEMD,2,8.257561914331944e-07
EGLL,EIDW,5,6.561962575014117e-09
EGLL,EDDM,5,0.011018286315851842
EGKK,EHAM,7,0.0006195619345203948
EGKK,LEBL,4,0.03347472641498825
EGKK,EGLL,8,2.2987081137023578e-07
EGKK,LFPG,8,0.0010145368021556348
EGKK,LIRF,6,5.4049114632681586e-05
EGKK,EDDF,7,0.00016874176560675099
EGKK,LEMD,1,3.474969311110252e-05
EGKK,EIDW,8,0.00010779655083010625
EGKK,EDDM,7,0.0042417009427264145
LFPG,EHAM,1,0.0007077976381015032
LFPG,LEBL,4,0.00402727322669626
LFPG,EGLL,2,4.9404009576556765e-14
LFPG,EGKK,4,2.9090765015052484e-09
LFPG,LIRF,6,0.6740848390183718
LFPG,EDDF,1,2.080689866650903e-05
LFPG,LEMD,7,7.633753533694143e-09
LFPG,EIDW,5,5.188813349828998e-09
LFPG,EDDM,4,0.0013924948416509004
LIRF,EHAM,1,0.005270813344125889
LIRF,LEBL,4,0.0035569239913718466
LIRF,EGLL,8,1.4638264472528514e-20
LIRF,EGKK,8,2.144542949579625e-09
LIRF,LFPG,8,2.0736698052315104e-11
LIRF,EDDF,3,2.7240213828329577e-13
LIRF,LEMD,4,5.3653418360070945e-09
LIRF,EIDW,5,1.294884724890042e-07
LIRF,EDDM,1,4.860593960037402e-13
EDDF,EHAM,5,1.7748528111076112e-07
EDDF,LEBL,5,0.00020484443207960404
EDDF,EGLL,4,1.7358167641049492e-35
EDDF,EGKK,6,4.240875118560696e-15
EDDF,LFPG,2,1.1989858068092025e-23
EDDF,LIRF,4,0.09118969097773837
EDDF,LEMD,5,0.0003426027933327609
EDDF,EIDW,4,3.47865078644859e-24
EDDF,EDDM,5,3.0369092505252324e-06
LEMD,EHAM,3,8.932671675248064e-05
LEMD,LEBL,4,1.1293969113011129e-06
LEMD,EGLL,5,1.4613654988446714e-09
LEMD,EGKK,8,0.00012738766676376255
LEMD,LFPG,6,0.0037409283320702837
LEMD,LIRF,5,0.03729145793734997
LEMD,EDDF,3,6.177264839190252e-08
LEMD,EIDW,5,0.003914371874084157
LEMD,EDDM,4,5.106137430215982e-05
EIDW,EHAM,7,0.027979919196931782
EIDW,LEBL,7,0.0004967261412763524
EIDW,EGLL,8,3.5444585135784978e-15
EIDW,EGKK,1,3.477876686814662e-11
EIDW,LFPG,6,5.077962080755303e-05
EIDW,LIRF,2,0.0009002989506347236
EIDW,EDDF,6,3.7252807768186786e-05
EIDW,LEMD,3,1.3530345306146784e-05
EIDW,EDDM,8,0.0004906795084069365
EDDM,EHAM,1,0.3317306578840157
EDDM,LEBL,2,0.0008244415889905831
EDDM,EGLL,4,9.625695897621072e-25
EDDM,EGKK,6,4.202159076315771e-12
EDDM,LFPG,6,2.97961133073416e-11
EDDM,LIRF,8,0.24281987964230567
EDDM,EDDF,6,2.8626645344289093e-08
EDDM,LEMD,1,1.832117337350593e-05
EDDM,EIDW,5,1.7478048861860668e-15
