,EDDF,LIRF,LEMD,LFPG,EIDW,EGKK,EGLL,EDDM,EHAM,LEBL
EDDF,0,1,0,1,0,1,1,1,1,1
LIRF,0,0,0,0,0,0,0,0,0,0
LEMD,1,0,0,0,0,1,1,0,0,1
LFPG,0,0,0,0,0,1,1,0,0,1
EIDW,0,0,0,0,0,0,0,0,0,0
EGKK,1,0,1,0,0,0,1,0,0,1
EGLL,1,0,1,0,0,1,0,0,0,0
EDDM,1,1,0,0,0,1,0,0,0,1
EHAM,0,0,0,0,0,1,1,1,0,0
LEBL,1,0,1,0,0,0,0,0,0,0
