source,target,best_lag,p_value
EHAM,LEBL,6,0.011387011120057881
EHAM,EGLL,1,0.0004320466657987928
EHAM,EGKK,7,1.1488513736763312e-05
EHAM,LFPG,1,0.008019180616804478
EHAM,LIRF,6,0.041553659957778974
EHAM,EDDF,1,0.23310935886795017
EHAM,LEMD,8,0.13906182129136851
EHAM,EIDW,1,0.023066914514082448
EHAM,EDDM,2,0.0014775039888351956
LEBL,EHAM,5,0.03200950342223961
LEBL,EGLL,2,0.055403271970991035
LEBL,EGKK,6,0.10059785284727694
LEBL,LFPG,3,0.013917973921631062
LEBL,LIRF,5,0.3256217217856683
LEBL,EDDF,6,0.005336675167325478
LEBL,LEMD,1,7.436869723202695e-06
LEBL,EIDW,2,0.3462289615349472
LEBL,EDDM,6,0.5084902632415358
EGLL,EHAM,1,0.1385772552061069
EGLL,LEBL,4,0.025981644458757742
EGLL,EGKK,8,7.903151904081314e-12
EGLL,LFPG,1,0.010125287803000548
EGLL,LIRF,2,0.8879863525453917
EGLL,EDDF,3,2.1824299117308477e-05
EGLL,LEMD,4,0.0025521735826234543
EGLL,EIDW,1,0.10206165245863319
EGLL,EDDM,3,0.29096802143996536
EGKK,EHAM,7,0.7608833732655031
EGKK,LEBL,4,1.8045115344057347e-06
EGKK,EGLL,1,1.7991511458723976e-05
EGKK,LFPG,1,0.032288172661754246
EGKK,LIRF,4,0.08481187931697655
EGKK,EDDF,3,0.0014679800474291097
EGKK,LEMD,4,0.0002308938497305862
EGKK,EIDW,1,0.038186955726558516
EGKK,EDDM,2,0.4363454734457115
LFPG,EHAM,1,0.09939189325168626
LFPG,LEBL,4,0.0031508009641735284
LFPG,EGLL,1,0.0011405401299062082
LFPG,EGKK,4,8.527428854796827e-05
LFPG,LIRF,6,0.07679903373084802
LFPG,EDDF,4,0.04522309353907021
LFPG,LEMD,1,0.07632041652362288
LFPG,EIDW,4,0.2737228792121787
LFPG,EDDM,1,0.4425853581639042
LIRF,EHAM,8,0.056868715826005195
LIRF,LEBL,1,0.6386876465873756
LIRF,EGLL,1,0.01034286288280782
LIRF,EGKK,1,0.03260842629932143
LIRF,LFPG,1,0.14517734725797704
LIRF,EDDF,3,0.3887880709132685
LIRF,LEMD,1,0.10279060199959594
LIRF,EIDW,2,0.03542892313749375
LIRF,EDDM,1,0.6990937652742961
EDDF,EHAM,5,4.899894617196598e-06
EDDF,LEBL,7,1.0148683910925667e-08
EDDF,EGLL,4,3.5562038881464254e-06
EDDF,EGKK,7,4.591918053503168e-13
EDDF,LFPG,4,5.147665454623452e-05
EDDF,LIRF,2,0.0009978871389985109
EDDF,LEMD,8,0.011273919729067909
EDDF,EIDW,1,0.029353376737025618
EDDF,EDDM,1,0.0001150958486134401
LEMD,EHAM,1,0.03986877367622374
LEMD,LEBL,7,0.0033133932522517694
LEMD,EGLL,1,0.004453758538715759
LEMD,EGKK,8,0.0003919845231063089
LEMD,LFPG,1,0.11558656440984386
LEMD,LIRF,1,0.6820847333224587
LEMD,EDDF,4,5.2510983546377884e-05
LEMD,EIDW,4,0.5106257960583689
LEMD,EDDM,3,0.15418395835759854
EIDW,EHAM,3,0.4934771547693383
EIDW,LEBL,2,0.16721420947187016
EIDW,EGLL,1,0.1608743381075933
EIDW,EGKK,7,0.009289446718433254
EIDW,LFPG,2,0.5260540159227747
EIDW,LIRF,2,0.29852138528814687
EIDW,EDDF,3,0.006713827864869643
EIDW,LEMD,1,0.31007223610738227
EIDW,EDDM,2,0.1923142425202254
EDDM,EHAM,4,0.3394097658662243
EDDM,LEBL,6,5.071020833697439e-06
EDDM,EGLL,2,0.02954257991955859
EDDM,EGKK,4,1.01253529879992e-07
EDDM,LFPG,2,0.013331546890952735
EDDM,LIRF,3,3.5976507909870265e-05
EDDM,EDDF,4,9.35612484676102e-09
EDDM,LEMD,8,0.024962158095142562
EDDM,EIDW,1,0.23310705347104144
