Unnamed: 0,distribution,aic,ks_statistic,p_value,parameters,airport,n_samples,log_likelihood
0.0,normal,7311665.1789959,0.0888462864192156,0.0,"(np.float64(190.98290365923256), np.float64(893.5415450115172))",,,
1.0,nct,7148407.857537989,0.0115154028370205,1.0815325941752792e-51,"(np.float64(4.478222736734388), np.float64(1.0719867596247294), np.float64(-574.1075021997192), np.float64(565.2058071124159))",,,
2.0,lognorm,12681852.380749883,0.8293086634230348,0.0,"(np.float64(9.798089142054087), np.float64(-39330.00000000001), np.float64(3.216285572550725))",,,
3.0,gamma,inf,0.2704526060136475,0.0,"(np.float64(14.294315138992328), np.float64(-5633.106621001643), np.float64(388.52045938230594))",,,
,burr12,1705540.76469325,0.013053829562375163,6.966864178972284e-37,"(np.float64(1.162725469626378), np.float64(4.920032354121201), np.float64(0.010664573295610883), np.float64(40.984088490811246))",EDDM,246287.0,-852766.382346625
,gengamma,1708302.544940129,0.01976358668282291,5.373605526222294e-84,"(np.float64(1.732683697860287), np.float64(0.7447397843076953), np.float64(0.001704707013154283), np.float64(5.056037938537353))",EDDM,246287.0,-854147.2724700645
,lomax,1709015.3393257186,0.036723172829256356,5.134872440569984e-289,"(np.float64(15.670377052101529), np.float64(0.01652144149694612), np.float64(174.0333128827133))",EDDM,246287.0,-854504.6696628593
,invgauss,1716411.7245405088,0.02903485297019992,8.274492183501112e-181,"(np.float64(0.9126728060039073), np.float64(-1.6923323278863014), np.float64(14.868443071095285))",EDDM,246287.0,-858202.8622702544
,expon,1710840.3322851222,0.02443673660286938,3.40887821792948e-128,"(0.016666666666666666, 11.861021085156748)",EDDM,246287.0,-855418.1661425611
