,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0
LFPG,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
EHAM,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0
EDDF,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
LEMD,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1
LEBL,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0
EDDM,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1
EGKK,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0
LIRF,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0
EIDW,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1
LATI,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1
LQSA,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1
LBSF,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
LBBG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDZA,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0
LDSP,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0
LDDU,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1
BKPR,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LYTV,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1
LWSK,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
