,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0
LFPG,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
EHAM,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1
EDDF,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0
LEMD,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1
LEBL,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1
EDDM,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
EGKK,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
LIRF,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1
EIDW,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1
LATI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LQSA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
LBSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LBBG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDZA,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1
LDSP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LDDU,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
BKPR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
LYTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LWSK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
