Unnamed: 0,distribution,aic,ks_statistic,p_value,parameters,airport,n_samples,log_likelihood
0.0,normal,9718597.1491462,0.1089088654210894,0.0,"(np.float64(1098.1378635162077), np.float64(1414.3089798786925))",,,
1.0,nct,9411648.299156005,0.0033975723372404,4.814892665411408e-06,"(np.float64(3.747163088803502), np.float64(1.4161618794137802), np.float64(-230.75239285277834), np.float64(739.6260857605444))",,,
2.0,lognorm,16245707.594842955,0.8413706295066846,0.0,"(np.float64(10.313356641029706), np.float64(-44838.000000000015), np.float64(1.352381572873905))",,,
3.0,gamma,9771524.100357274,0.1506480747721568,0.0,"(np.float64(1077.1310828387423), np.float64(-53517.417154027746), np.float64(50.615771660293646))",,,
,burr12,3940544.150346328,0.015384771551107346,3.849571280421328e-100,"(np.float64(1.4860867294018052), np.float64(3.673700585815582), np.float64(-0.1755365321805647), np.float64(50.24318225914179))",EGLL,484981.0,-1970268.075173164
,gengamma,4483661.9812312,0.41738358156725025,0.0,"(np.float64(1.7110099640757506), np.float64(0.3622139162628877), np.float64(0.016666666666666663), np.float64(1.6845520473761046))",EGLL,484981.0,-2241826.9906156
,lomax,3984233.152748573,0.09582083926800672,0.0,"(np.float64(27339087779.099335), np.float64(0.016666666658939844), np.float64(611839905708.017))",EGLL,484981.0,-1992113.5763742866
,invgauss,3954234.5494362833,0.022122465855554885,1.2926695770432764e-206,"(np.float64(0.5013392712298335), np.float64(-5.085889339691054), np.float64(54.788820291684246))",EGLL,484981.0,-1977114.2747181416
,expon,3984231.0104338485,0.09596296027832246,0.0,"(0.016666666666666666, 22.367554364672706)",EGLL,484981.0,-1992113.5052169242
