,EDDF,LIRF,LEMD,LFPG,EIDW,EGKK,EGLL,EDDM,EHAM,LEBL
EDDF,0,0,0,1,0,0,0,0,0,0
LIRF,1,0,1,0,0,0,0,1,0,1
LEMD,0,0,0,1,1,0,1,1,1,0
LFPG,0,1,0,0,0,0,0,0,0,0
EIDW,0,1,0,0,0,0,0,0,0,0
EGKK,0,0,1,0,0,0,1,0,0,0
EGLL,0,1,0,1,0,0,0,0,0,0
EDDM,0,0,1,1,1,1,1,0,0,0
EHAM,0,0,1,1,0,0,0,0,0,0
LEBL,0,0,1,0,0,1,0,0,0,0
