,EHAM,LEBL,EGLL,EGKK,LFPG,LIRF,EDDF,LEMD,EIDW,EDDM
EHAM,0,1,1,0,1,1,0,1,1,0
LEBL,1,0,0,0,0,1,1,1,1,1
EGLL,0,1,0,1,0,1,0,1,1,0
EGKK,0,0,0,0,0,1,0,0,1,0
LFPG,1,1,1,1,0,1,0,1,1,1
LIRF,1,1,1,1,1,0,0,1,1,0
EDDF,1,1,1,1,1,1,0,1,1,1
LEMD,0,1,0,1,1,1,0,0,1,0
EIDW,0,1,1,1,0,1,1,1,0,1
EDDM,1,1,1,1,1,1,1,1,1,0
