,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LFPG,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0
EHAM,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1
EDDF,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
LEMD,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
LEBL,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
EDDM,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0
EGKK,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
LIRF,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
EIDW,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
LATI,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1
LQSA,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0
LBSF,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1
LBBG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LDZA,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1
LDSP,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
LDDU,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1
BKPR,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1
LYTV,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0
LWSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
