,EGKK,EDDM,EDDF,EHAM,EGLL,LFPG,LIRF,EIDW,LEBL,LEMD
EGKK,0,1,1,1,0,0,0,1,1,1
EDDM,1,0,1,1,1,1,1,1,1,1
EDDF,1,0,0,1,1,1,1,1,1,1
EHAM,1,1,1,0,1,1,0,1,1,1
EGLL,1,1,1,0,0,1,1,1,1,0
LFPG,1,1,1,0,1,0,0,1,1,1
LIRF,1,1,1,1,0,1,0,0,1,1
EIDW,1,1,0,0,1,1,0,0,1,0
LEBL,1,0,0,0,0,1,1,1,0,0
LEMD,0,0,0,0,1,0,1,1,1,0
