,EDDF,LIRF,LEMD,LFPG,EIDW,EGKK,EGLL,EDDM,EHAM,LEBL
EDDF,0,1,1,1,1,1,1,1,1,1
LIRF,1,0,1,1,1,1,0,0,1,1
LEMD,0,0,0,0,1,1,1,1,1,0
LFPG,0,0,0,0,1,1,1,0,0,1
EIDW,1,0,1,1,0,1,1,1,1,1
EGKK,0,0,1,0,1,0,1,1,1,1
EGLL,1,0,0,0,0,1,0,1,1,1
EDDM,1,1,1,0,1,1,1,0,1,1
EHAM,1,0,1,1,1,1,1,1,0,1
LEBL,1,0,0,0,1,1,0,0,0,0
