,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
LFPG,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
EHAM,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
EDDF,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
LEMD,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0
LEBL,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
EDDM,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1
EGKK,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
LIRF,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1
EIDW,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1
LATI,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
LQSA,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
LBSF,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1
LBBG,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
LDZA,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
LDSP,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0
LDDU,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
BKPR,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1
LYTV,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
LWSK,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0
