,sched_ts,delay_s,delay_min
sched_ts,4.0374667762454354e-62,0.7280775475944815,0.7280353107454548
delay_s,0.7280207929008503,3.7479491778325712e-50,3.7284331866537587e-50
delay_min,0.7280816886368984,3.7270343911677576e-50,3.722281263315185e-50
