Airport,Avg Origin Delay,Avg Destination Delay
AFIL,6.083333333333333,0.0
BGSF,12.469047619047618,0.0
BIAR,7.233333333333333,0.0
BIKF,14.051718968618827,0.0
BIRK,-0.5623188405797102,0.0
BKPR,-3.985350645539906,4.634155473578005
CYBG,0.475,0.0
CYEG,19.865108695652175,0.0
CYFB,11.4625,0.0
CYHM,26.057923497267762,0.0
CYHZ,27.24959074230878,0.0
CYMX,-1.3111111111111111,0.0
CYOW,24.595119182746878,0.0
CYQB,8.865289256198347,0.0
CYQM,92.66666666666667,0.0
CYQX,30.41413043478261,0.0
CYSJ,-10.5,0.0
CYUL,24.074269475688865,0.0
CYVP,14.6,0.0
CYVR,28.02776953103524,0.0
CYWG,23.52647058823529,0.0
CYXY,19.003191489361704,0.0
CYYC,27.02901309901554,0.0
CYYG,5.816666666666666,0.0
CYYR,26.080555555555556,0.0
CYYT,21.76964208710651,0.0
CYYZ,25.210117026235185,0.0
DAAE,7.439303482587064,0.0
DAAG,5.284862307822268,0.0
DAAJ,15.883333333333333,0.0
DAAK,-11.7,0.0
DAAQ,25.0,0.0
DAAS,3.8970588235294117,0.0
DAAT,-8.842222222222222,0.0
DABB,9.83712643678161,0.0
DABC,10.783531746031747,0.0
DABT,3.551587301587302,0.0
DAOB,11.483333333333333,0.0
DAOF,-9.203030303030301,0.0
DAOI,-0.24004329004329003,0.0
DAON,2.654166666666667,0.0
DAOO,3.6792144373673037,0.0
DAOR,-33.38333333333333,0.0
DAOY,8.233333333333333,0.0
DAUA,-4.515816326530612,0.0
DAUB,12.85040650406504,0.0
DAUG,-15.966666666666667,0.0
DAUH,-2.8389492753623187,0.0
DAUO,2.4061538461538463,0.0
DAUZ,-7.677777777777778,0.0
DBBB,10.116789577187808,0.0
DFFD,3.2983884648006785,0.0
DGAA,18.297993127147766,0.0
DIAP,16.885127314814817,0.0
DNAA,10.794221351616063,0.0
DNKN,5.4,0.0
DNMM,12.341784037558686,0.0
DNPO,-1.1122549019607844,0.0
DRRN,3.2506431767337807,0.0
DRZA,39.13333333333333,0.0
DTKA,-11.944871794871796,0.0
DTMB,1.0195659216067379,0.0
DTNH,7.521157059314954,0.0
DTTA,5.989290972930117,0.0
DTTG,17.541666666666668,0.0
DTTJ,4.576931628682601,0.0
DTTX,2.7469791666666667,0.0
DTTZ,0.6875,0.0
DXXX,4.0863349131121645,0.0
EBAW,9.502039117769455,0.0
EBBR,4.092794722763642,0.0
EBCI,6.662666986641069,0.0
EBKT,3.6083333333333334,0.0
EBLG,-0.14166666666666666,0.0
EBMB,1.8133333333333332,0.0
EBOS,0.6454674220963172,0.0
EDAB,-2.5142857142857142,0.0
EDAC,6.132539682539683,0.0
EDAH,2.333823529411765,0.0
EDAJ,-5.433333333333334,0.0
EDAV,-12.334615384615384,0.0
EDAZ,4.111904761904762,0.0
EDBC,1.6833333333333333,0.0
EDBH,-19.766666666666666,0.0
EDBJ,-20.205555555555556,0.0
EDBM,-7.4714285714285715,0.0
EDBN,-30.808333333333334,0.0
EDBR,-6.25,0.0
EDCM,32.65,0.0
EDCO,12.933333333333334,0.0
