OriginGroup,DestGroup,mean,median,count
Balkans,Balkans,-2.017785248741853,-1.6166666666666667,24242
Balkans,Europe,5.548847056699169,3.5166666666666666,55380
Europe,Balkans,7.064505408456859,5.45,54914
Europe,Europe,6.8932795007246535,5.116666666666666,761744
Other,Balkans,2.2520212231438776,1.2166666666666666,221582
Other,Europe,7.9667459712723705,5.15,3727190
