,EHAM,LEBL,EGLL,EGKK,LFPG,LIRF,EDDF,LEMD,EIDW,EDDM
EHAM,0,1,1,1,1,1,0,1,1,1
LEBL,0,0,0,1,0,0,0,1,0,0
EGLL,0,0,0,1,1,1,0,0,0,1
EGKK,1,1,1,0,1,0,0,1,1,0
LFPG,1,1,1,1,0,1,0,1,1,1
LIRF,1,1,1,1,1,0,1,1,1,1
EDDF,1,0,0,1,1,0,0,0,1,1
LEMD,0,0,0,0,1,0,0,0,0,1
EIDW,1,1,1,1,1,1,0,1,0,1
EDDM,1,1,1,1,1,1,0,1,1,0
