,LQSA,LATI,LBSF,LDZA,LDSP,LDDU,LYTV,LWSK,LBBG,BKPR
LQSA,0,0,0,0,0,0,1,1,0,1
LATI,0,0,0,0,0,0,1,0,0,1
LBSF,0,0,0,0,0,0,0,0,1,0
LDZA,0,0,1,0,0,0,0,0,0,0
LDSP,0,0,0,0,0,1,0,0,0,0
LDDU,0,0,0,1,1,0,0,0,1,0
LYTV,1,0,0,0,1,1,0,0,0,0
LWSK,0,0,0,0,0,0,0,0,0,0
LBBG,0,0,0,0,0,0,0,0,0,0
BKPR,0,0,0,0,0,0,0,0,0,0
