source,target,best_lag,p_value
EGKK,EDDM,8,1.2550223323490595e-06
EGKK,EDDF,3,0.14541029353484466
EGKK,EHAM,8,0.020321381971551006
EGKK,EGLL,3,2.259149131305264e-05
EGKK,LFPG,2,0.00240877631244339
EGKK,LIRF,8,0.519721786069508
EGKK,EIDW,5,0.0061441719645811445
EGKK,LEBL,8,4.9386166413696846e-05
EGKK,LEMD,7,5.3111943718945685e-06
EDDM,EGKK,5,3.707277140927015e-17
EDDM,EDDF,3,0.09250182027487328
EDDM,EHAM,3,5.61092251659562e-09
EDDM,EGLL,3,3.1658312434074477e-18
EDDM,LFPG,1,3.5829487420708127e-10
EDDM,LIRF,6,3.0837722368656635e-05
EDDM,EIDW,2,1.3682618648425069e-16
EDDM,LEBL,7,4.5373572831275927e-08
EDDM,LEMD,8,1.605253375866334e-05
EDDF,EGKK,4,3.900407219699041e-09
EDDF,EDDM,4,0.0015109380190487733
EDDF,EHAM,1,4.238472745792597e-09
EDDF,EGLL,2,1.896163584168261e-11
EDDF,LFPG,2,2.359476538668448e-05
EDDF,LIRF,1,0.0024459856433761487
EDDF,EIDW,6,1.1416250810333065e-07
EDDF,LEBL,7,0.0021356413615876446
EDDF,LEMD,8,9.677541127934413e-12
EHAM,EGKK,6,2.125512644046433e-11
EHAM,EDDM,6,0.1612631463445466
EHAM,EDDF,1,0.3033561281557741
EHAM,EGLL,2,4.340167132931809e-13
EHAM,LFPG,1,4.8743216449735356e-09
EHAM,LIRF,3,0.0002055876119072688
EHAM,EIDW,4,1.2301117077046098e-09
EHAM,LEBL,4,6.437121318756851e-07
EHAM,LEMD,3,2.2279204303738472e-05
EGLL,EGKK,1,1.0027814231680527e-19
EGLL,EDDM,5,0.009179598697975988
EGLL,EDDF,5,0.46396211206967475
EGLL,EHAM,7,0.02187911964791453
EGLL,LFPG,6,3.907649450988464e-06
EGLL,LIRF,2,0.46004650319672913
EGLL,EIDW,7,8.680274396196763e-05
EGLL,LEBL,8,1.5135442089163415e-05
EGLL,LEMD,1,1.9004207667328464e-07
LFPG,EGKK,4,3.982443207164245e-15
LFPG,EDDM,4,3.1838408122190945e-07
LFPG,EDDF,1,0.00034808996124999155
LFPG,EHAM,1,4.691495280055382e-05
LFPG,EGLL,2,3.357190123210663e-17
LFPG,LIRF,8,0.024115864312459545
LFPG,EIDW,4,4.6334628363988606e-12
LFPG,LEBL,7,1.4026704998995423e-08
LFPG,LEMD,7,5.381667062457379e-07
LIRF,EGKK,2,2.561097683538776e-07
LIRF,EDDM,8,0.08194963153653219
LIRF,EDDF,3,0.4078401387767461
LIRF,EHAM,6,0.00988711746669939
LIRF,EGLL,1,2.213791820990004e-07
LIRF,LFPG,1,0.0006248698619403764
LIRF,EIDW,2,0.00018634673550852143
LIRF,LEBL,8,0.00046944164057793344
LIRF,LEMD,5,0.07239105151357648
EIDW,EGKK,6,3.913150772155564e-11
EIDW,EDDM,8,0.03421021471715269
EIDW,EDDF,6,0.010475160896950818
EIDW,EHAM,2,0.004488043524694315
EIDW,EGLL,4,5.7046365866819685e-05
EIDW,LFPG,1,5.830375498456985e-05
EIDW,LIRF,2,0.1278023849089536
EIDW,LEBL,6,5.72315312778884e-09
EIDW,LEMD,7,1.9584496840868425e-05
LEBL,EGKK,1,0.0001662013831223543
LEBL,EDDM,8,0.000477295403392107
LEBL,EDDF,1,0.1929898619769701
LEBL,EHAM,4,0.5417012805211308
LEBL,EGLL,4,0.04608277575184531
LEBL,LFPG,3,0.019474538460685722
LEBL,LIRF,8,0.3082754778163762
LEBL,EIDW,6,0.001175952090104442
LEBL,LEMD,1,4.1669042541530207e-07
LEMD,EGKK,5,0.016255759159788184
LEMD,EDDM,1,0.049632967920986364
LEMD,EDDF,2,0.22884284921072218
LEMD,EHAM,1,0.24591047186660883
LEMD,EGLL,1,0.016551171194933566
LEMD,LFPG,7,0.006365178894778096
LEMD,LIRF,3,0.012664177195145745
LEMD,EIDW,6,0.029922845449590865
LEMD,LEBL,2,1.769942618386774e-05
