,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1
LFPG,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
EHAM,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0
EDDF,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
LEMD,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0
LEBL,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
EDDM,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
EGKK,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0
LIRF,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
EIDW,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0
LATI,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LQSA,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1
LBSF,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
LBBG,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
LDZA,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1
LDSP,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0
LDDU,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0
BKPR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
LYTV,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
LWSK,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
