Unnamed: 0,distribution,aic,ks_statistic,p_value,parameters,airport,n_samples,log_likelihood
0.0,normal,8028237.819074878,0.1125831105287183,0.0,"(np.float64(397.70363892593804), np.float64(1095.7057844767323))",,,
1.0,nct,7738471.667043392,0.0033881979843988,3.509809950266697e-05,"(np.float64(3.6669593937604583), np.float64(0.9499423334959294), np.float64(-314.25349659792533), np.float64(580.2924089911978))",,,
2.0,lognorm,7991923.037153451,0.0960690055487776,0.0,"(np.float64(0.010632247583787974), np.float64(-97540.36937845766), np.float64(97895.83103060047))",,,
3.0,gamma,inf,0.9982130546132634,0.0,"(np.float64(9.409636804764355e-05), np.float64(-2202.0000000000005), np.float64(5.391614379827532))",,,
,burr12,2287644.101271615,0.016150412846740347,1.2107823951310975e-72,"(np.float64(1.2387837013412057), np.float64(4.246841925870621), np.float64(0.0007819864186100068), np.float64(38.29493966563534))",LEMD,318721.0,-1143818.0506358074
,gengamma,2293320.8723829547,0.02399272699700422,8.165949340753845e-160,"(np.float64(2.2508129332509794), np.float64(0.6760454284001044), np.float64(-0.04993068422949272), np.float64(3.5686042853093753))",LEMD,318721.0,-1146656.4361914773
,lomax,2296979.657241255,0.051373132708282254,0.0,"(np.float64(18.499505031167423), np.float64(0.0166666666665189), np.float64(236.7754550889813))",LEMD,318721.0,-1148486.8286206275
,invgauss,2301794.7835026756,0.02790073476882232,5.6408210118579924e-216,"(np.float64(0.8135001102008896), np.float64(-2.105364949584195), np.float64(19.29789578088716))",LEMD,318721.0,-1150894.3917513378
,expon,2300125.6432831543,0.03935455930737594,0.0,"(0.016666666666666666, 13.576797104677759)",LEMD,318721.0,-1150060.8216415772
