Airport,Region,Burr_c,Burr_d,Burr_loc,Burr_scale,NCT_df,NCT_nc,NCT_loc,NCT_scale
EGLL,Europe,0.37318568660979423,0.050196016579315994,0.0038485157035744004,1.506100067492298,0.3883992150378113,0.305602184774564,4.008188007774666,0.07965585535233011
LFPG,Europe,0.32141682582259623,0.07827636223306322,0.0008041852622917983,3.01132509040902,0.06661076840409885,0.0320551171717538,0.30752593844621057,0.06030912367524266
EHAM,Europe,0.5935245903634669,0.16494531496887171,0.0012835310664008025,3.846109310182767,0.06133714995200057,0.03163577734968159,0.3430051638859437,0.0639453565083361
EDDF,Europe,0.20825132818693737,0.03980896143306811,0.0080855843803034,1.743459193743373,0.08675223249005581,0.03479524215570784,0.3861954117352777,0.060413618068899666
LEMD,Europe,0.1318678052850517,0.027599132641078383,0.12304424514721901,1.1735323209844672,0.07862384722360094,0.03024480429883769,0.3062655699995771,0.07397912462348621
LEBL,Europe,0.09189611787840812,0.02602380448547137,0.0029929281086397003,0.8585248388470923,0.10541385329637576,0.038407329174166005,0.3910753015299644,0.06475364780015624
EDDM,Europe,0.6967321777102595,0.1679179629608752,0.0006682254217148,3.249736004250419,0.8010830510451221,1.09348185343112,11.219272775545132,0.34628912742784124
EGKK,Europe,0.8872717942414448,0.08408381750172889,0.0016850719200436973,1.8371183688370643,0.12698665477191717,0.05768043599037176,0.6947897120110422,0.09147167827939207
LIRF,Europe,0.4155855548182825,0.07440698101264309,0.0026354233181733015,2.2662396323681886,0.1343131974276952,0.039419710143849596,0.44813957982142405,0.0815918915073599
EIDW,Europe,0.30043853304632284,0.04801137775052888,0.0010045608834981998,1.5454146101637587,0.18777819240973503,0.05827740854075625,0.7458319571510508,0.10353424950455725
LATI,Balkans,0.25897114097584417,0.05048744791521537,0.0035647619049248985,1.4955796684125868,0.47070290762283573,0.1511888957576384,1.6245235705501684,0.24625442853286827
LQSA,Balkans,0.22076919114518612,0.039040089616380336,0.0025097703719713996,1.1100710928159234,0.5963026094095918,0.3574084155109876,4.063972291609688,0.36490152906844564
LBSF,Balkans,0.317750111052824,0.05399937845925251,0.0012337363520290995,1.6930557825977264,0.2829004555644068,0.2644063659862266,3.2351507095987637,0.16594713553473284
LBBG,Balkans,0.15126366976609562,0.032621416979934204,0.001463262334242297,0.9416837147471568,0.45560495590432026,0.131586741065976,1.5460796613066563,0.3429640014551989
LDZA,Balkans,0.22134537714635316,0.040492139190990095,0.0014309682668162023,1.5270550682612196,0.4308026412177042,0.5267443875718716,5.411803284185423,0.1786628302914277
LDSP,Balkans,0.22310608629905726,0.03934799230785979,0.0014809051153987993,1.543326005735441,0.36484213738735916,0.1143819795147315,1.2045719199536657,0.247719579948253
LDDU,Balkans,0.37406869635486695,0.07895355836848261,0.0005796907265302985,2.715889370660527,0.3627819533254075,0.14182004510768687,1.513922581062407,0.2534827507168238
BKPR,Balkans,0.2995878122890492,0.0460475706109677,0.005753225798998,1.509918169558766,1.1246667332364364,0.7973661047866485,8.529189122655831,0.2459967472277551
LYTV,Balkans,0.9667996835720443,0.23472947689287865,0.0037922992630117017,5.866460992161997,0.7828896715970526,0.29525234198190986,3.159803087655993,0.3852276073209957
LWSK,Balkans,0.4187021839545939,0.08580163446199168,0.004465122836137203,2.192743920524247,0.7174873914101934,0.15553119300141083,1.7726177172571473,0.3430098437485025
