Airport,Delay_Type,Shape_c,Shape_d,Location,Scale,KS_Statistic,P_value
EGLL,positive,3.088783155477973,0.3757486201460011,0.0103467138217338,30.505258272675064,0.0054083755681249,9.497963165928149e-13
LFPG,positive,2.568944892039104,0.3856455456325905,0.0166666666666666,19.83431421817865,0.0043039704346248,5.21585073630109e-07
EHAM,positive,2.4738927605806325,0.4318164118560894,0.0152080089801405,20.37403501073938,0.0032967182677089,0.0001001812743773
EDDF,positive,2.2254411445795053,0.4133374066426902,0.0166666666666666,19.182032111562325,0.0111404957147134,4.950402379553849e-34
LEMD,positive,2.6959074506262724,0.3642278222521605,0.0166666666666666,18.773007681221785,0.0043914476966787,9.140693806227389e-06
LEBL,positive,2.497373328378753,0.3919387594152402,0.0166666666666665,17.93084338630915,0.0046379912986343,4.106126559406719e-05
EDDM,positive,2.583005205895626,0.3694302416137672,0.0166666666666666,16.60298570237575,0.0137948132464619,3.8603872324154254e-41
EGKK,positive,2.8100467912622977,0.3672942718274061,0.016104332224497,26.19016310539634,0.0047545721189617,3.96282300094602e-05
LIRF,positive,2.4696764854227524,0.36893216004703,0.0166666666666666,16.472972943119686,0.0092476624043378,8.032398945917189e-12
EIDW,positive,2.5292886481524883,0.3624687624152444,0.0166666666666666,18.50274250922053,0.0072788552997306,1.2390942184220118e-06
LATI,positive,3.724488210625528,0.2510370670852527,0.0166666666666666,18.20550482127937,0.0177071831563012,1.1043823437238089e-06
LQSA,positive,2.937032977381636,0.330972237813757,0.0166666666666666,18.735764577307428,0.0090837472641953,0.4136611323160637
LBSF,positive,2.6745515437240845,0.3496296405785487,0.0166666666666666,15.997682682554776,0.0084261571232048,0.016477939382892
LBBG,positive,2.570852937708233,0.3555400481338682,0.0166666666666666,16.38985862798151,0.0117863551702763,0.1070864481252915
LDZA,positive,2.721836469977589,0.3503845096608995,0.0166666666666666,15.626560737003452,0.0075615461846929,0.0691918989682697
LDSP,positive,2.792664530580286,0.3483585391171928,0.0166666666666666,16.47247265540222,0.0064272545273396,0.4121809620512695
LDDU,positive,2.722519177783608,0.3564242592987803,0.0166666666666644,15.730147740723776,0.0063248289086317,0.6624030829288066
BKPR,positive,3.046937642923757,0.3222085723343522,0.0166666666666661,18.181670459709363,0.0108078951940961,0.0936599529213652
LYTV,positive,2.66279401687978,0.3543816267216912,0.0166666666666666,16.809438433380222,0.0128391461944981,0.1393527067317642
LWSK,positive,3.069148858588396,0.3150291371183618,0.0166666666666582,18.043696979256964,0.0199561852411647,0.0002293734409818
