Airport,Delay_Type,Param,Mean,CI_lower,CI_upper,N_bootstrap
EGLL,positive,c,3.086503822895316,3.015560280606218,3.1474280858912698,500
EGLL,positive,d,0.37664558599529596,0.3645177145521834,0.3921168471932618,500
EGLL,positive,loc,0.0068118786850031475,-0.10326123595699749,0.019783009190221634,500
EGLL,positive,scale,30.479254441518044,29.849432293089787,31.022964614074258,500
EGLL,negative,c,2.7941977216326612,2.439150192476228,3.1170977928998096,500
EGLL,negative,d,0.3222975369486998,0.28501041028482915,0.3794309012297186,500
EGLL,negative,loc,0.01669847420672369,0.01666721778725305,0.016975134969230886,500
EGLL,negative,scale,10.939157219544033,10.092633788076174,11.617015755888287,500
LFPG,positive,c,2.5749497049997117,2.4761230598476556,2.6992291461467133,500
LFPG,positive,d,0.3836517938948707,0.36055300091215536,0.39990099322001516,500
LFPG,positive,loc,0.016599216868780804,0.01667914662638532,0.018160051741784113,500
LFPG,positive,scale,19.889132842003207,19.292081905994543,20.835407911729984,500
LFPG,negative,c,3.1512271978761457,2.7454025808969216,3.7107627788618607,500
LFPG,negative,d,0.2631261051426877,0.21767149081776946,0.31903966697325115,500
LFPG,negative,loc,0.01667777426379149,0.016667131868254387,0.016792458635960676,500
LFPG,negative,scale,11.782153590203126,10.436091669849706,12.90096028884205,500
EHAM,positive,c,2.475224605982032,2.430749773896241,2.5226458917746495,500
EHAM,positive,d,0.4312297243204725,0.41800240819897466,0.44402621268444603,500
EHAM,positive,loc,0.015997737315191506,0.015115353702032158,0.018108281810671884,500
EHAM,positive,scale,20.3979437324802,19.986870440636654,20.845395279483743,500
EHAM,negative,c,3.0160709233582548,2.503842482864818,3.203763325047165,500
EHAM,negative,d,0.3030635514613811,0.27302501440059973,0.402561064329629,500
EHAM,negative,loc,0.016630728380731725,0.016666991600488325,0.016971474219195492,500
EHAM,negative,scale,10.0953742642346,8.683934839552062,10.63699169259648,500
EDDF,positive,c,2.2235542120264484,2.060764462711572,2.3821812885341678,500
EDDF,positive,d,0.41444667861861517,0.3791199666994732,0.45739632893253646,500
EDDF,positive,loc,0.016851076463652814,0.016669174047684174,0.01747335930997595,500
EDDF,positive,scale,19.174993369746016,17.80895535084149,20.82028044125051,500
EDDF,negative,c,3.8588498750744886,2.4267002093887684,4.133024330811012,500
EDDF,negative,d,0.2558777580373232,0.22581198975502412,0.41552825119601583,500
EDDF,negative,loc,0.016381978056326962,0.014773015304428209,0.017453959598846068,500
EDDF,negative,scale,15.582341114270944,13.786959077898212,16.112215299057254,500
LEMD,positive,c,2.7015778864966373,2.6033725330841757,2.8247179102305293,500
LEMD,positive,d,0.3633078569269233,0.338730000584453,0.37922213977544317,500
LEMD,positive,loc,0.016935154018986716,0.016667902120361313,0.01809887038717754,500
LEMD,positive,scale,18.80712241960752,18.25836898745422,19.78542405571544,500
LEMD,negative,c,3.54819344759334,3.139380258260292,3.98324568697311,500
LEMD,negative,d,0.2482725760646181,0.217393351978423,0.2828235969465543,500
LEMD,negative,loc,0.016748549876233174,0.016668188004686977,0.017021978923625405,500
LEMD,negative,scale,12.66615743693291,11.770948254665127,13.532619048498312,500
LEBL,positive,c,2.4888625022098667,2.4213370818784585,2.572600751644554,500
LEBL,positive,d,0.398647673001205,0.3778877939542683,0.4105092109342025,500
LEBL,positive,loc,0.01700057240382391,0.01667356646089415,0.01813682879513648,500
LEBL,positive,scale,17.820645643923772,17.43490455091543,18.376588265662587,500
LEBL,negative,c,3.2860467973893273,2.5075321008755993,3.7723695547670557,500
LEBL,negative,d,0.26997694538069805,0.22726108943310422,0.35983506457857706,500
LEBL,negative,loc,0.01657086374170432,0.016655651987358307,0.016931029887953922,500
LEBL,negative,scale,11.6620741068631,10.057841775396296,12.569382151315404,500
EDDM,positive,c,2.557471363138251,2.069442958014667,2.662967548378134,500
EDDM,positive,d,0.38435338522222173,0.35339154827271424,0.5183368632415859,500
EDDM,positive,loc,0.016748173062002783,0.016349993180268675,0.017633524246669488,500
EDDM,positive,scale,16.363128000107004,13.203534879295635,17.049644189478403,500
EDDM,negative,c,4.076322188347762,3.8257474106478706,4.448744062168957,500
EDDM,negative,d,0.23599218867318023,0.21486002289201098,0.2534675715103939,500
EDDM,negative,loc,0.01674820086993478,0.016673669934837373,0.017554625542428162,500
EDDM,negative,scale,13.109714066443415,12.663563811304314,13.739253296752313,500
EGKK,positive,c,2.8145235747213344,2.7391292588329144,2.9473805870198513,500
EGKK,positive,d,0.36774775129550064,0.33994640142499083,0.3797553628580589,500
EGKK,positive,loc,0.016289891681505828,0.011026846831703387,0.019112431212006703,500
EGKK,positive,scale,26.225107822026512,25.654709761553754,27.39816895529713,500
EGKK,negative,c,3.4164436892393013,3.1933616063035477,3.789395435417763,500
EGKK,negative,d,0.2604232118585161,0.23196292049272965,0.28470076592878835,500
EGKK,negative,loc,0.016760575536315294,0.016667619464694704,0.017032946188659883,500
EGKK,negative,scale,13.34797523931579,12.570697429547758,14.11482455730361,500
LIRF,positive,c,2.4630868941083155,2.290233366884926,2.664302063239793,500
LIRF,positive,d,0.3730618624751343,0.33142917188294413,0.41038273025142674,500
LIRF,positive,loc,0.0167548625917618,0.016668921122281077,0.017248611848811306,500
LIRF,positive,scale,16.41488450946966,15.08450435213949,17.800393722800017,500
LIRF,negative,c,4.7789913408559315,4.125598472898203,5.547976121648651,500
LIRF,negative,d,0.20064668253954362,0.16797240679028294,0.22609854174011196,500
LIRF,negative,loc,0.016511622816566957,0.01426791485843971,0.01748714010119751,500
LIRF,negative,scale,17.61489897035696,16.805494668916918,18.33421596073556,500
EIDW,positive,c,2.502138057026875,1.9230426380015153,2.619774815711775,500
EIDW,positive,d,0.379169174560018,0.3468338565753885,0.5147518195362637,500
EIDW,positive,loc,0.016788030912079522,0.016666930602741423,0.0173351560244562,500
EIDW,positive,scale,18.205542062953413,15.768111689032391,19.01784769328281,500
EIDW,negative,c,4.115813733301521,3.553115623416432,5.033951374164597,500
EIDW,negative,d,0.22757578545489784,0.18019870514471129,0.26572947281050324,500
EIDW,negative,loc,0.016384613112097244,0.016288944115356887,0.01737930439132485,500
EIDW,negative,scale,17.800405796495234,16.85783237659229,18.718441044704335,500
LATI,positive,c,3.693280548314259,3.0655122165366437,3.9527840107780885,500
LATI,positive,d,0.263829896954206,0.2304473573762591,0.314531174877988,500
LATI,positive,loc,0.01698410874362778,0.01666847367257373,0.018353545592617457,500
LATI,positive,scale,18.00124158065413,17.04082597796113,18.877944346798195,500
LATI,negative,c,2.718803724149968,2.5563338565180875,2.904005845660058,500
LATI,negative,d,0.3523097202161277,0.3216837737661401,0.38261942397290305,500
LATI,negative,loc,0.01726887400386798,0.01667814284119345,0.0188829315972167,500
LATI,negative,scale,11.717029573341305,11.08525215308688,12.389469709834103,500
LQSA,positive,c,2.9516564511583936,2.8135111381001954,3.1130989503892454,500
LQSA,positive,d,0.32884556318205055,0.3059137930537057,0.3519613636646734,500
LQSA,positive,loc,0.018250600708366014,0.016717295150202472,0.022470520949200417,500
LQSA,positive,scale,18.7899731021017,18.063534141264753,19.573452310823523,500
LQSA,negative,c,2.8137503878762073,2.530249208148329,3.2349645958176265,500
LQSA,negative,d,0.3207917024010565,0.2719502453150932,0.36831523926824516,500
LQSA,negative,loc,0.01770000384549167,0.01668131023053457,0.0207386610295621,500
LQSA,negative,scale,11.798486721779065,10.77284960187199,13.167823403636678,500
LBSF,positive,c,2.6811643511796728,2.557876405379933,2.858314938426256,500
LBSF,positive,d,0.3489480159281817,0.3242005986780254,0.3722119764285543,500
LBSF,positive,loc,0.01690944844148908,0.016670669637586292,0.017675230521084478,500
LBSF,positive,scale,16.010140690617455,15.28021989559054,16.825634505754298,500
LBSF,negative,c,3.35505957767289,3.0230076761198172,3.6333809804866237,500
LBSF,negative,d,0.27447865384769127,0.24425410020099456,0.31450482974449434,500
LBSF,negative,loc,0.016407624298462434,0.016667364656266958,0.017514326009724978,500
LBSF,negative,scale,15.904488503029352,14.82211713047503,16.58680057162833,500
LBBG,positive,c,2.579031022268715,2.3968844866554675,2.81247004147375,500
LBBG,positive,d,0.3551179199918862,0.31708229171177776,0.3914892727244208,500
LBBG,positive,loc,0.017273640364851146,0.016678488564693186,0.01931391188286648,500
LBBG,positive,scale,16.42828869625007,15.41894199312758,17.68518162549577,500
LBBG,negative,c,3.529935631566589,3.2456717898331116,4.263470818492372,500
LBBG,negative,d,0.2818531770663014,0.22332653378739326,0.3028669873517451,500
LBBG,negative,loc,0.01756981769770756,0.016679065671674757,0.0209072819891504,500
LBBG,negative,scale,15.827328494281359,15.20690142770916,16.693197178327946,500
LDZA,positive,c,2.719794222246921,2.5836805288975104,2.9014306399503345,500
LDZA,positive,d,0.3530362960680151,0.32339941492731367,0.3773987933865661,500
LDZA,positive,loc,0.01701262575590055,0.01667372697144472,0.017907463323473868,500
LDZA,positive,scale,15.573991830008886,14.764840368702233,16.45789615129996,500
LDZA,negative,c,3.857541492527571,3.5326113265228334,4.269076489370418,500
LDZA,negative,d,0.23297219277830236,0.2075065635619796,0.2623859421616347,500
LDZA,negative,loc,0.016751992255798143,0.016668728099894448,0.017578191469623777,500
LDZA,negative,scale,13.756388387060495,13.03500060752931,14.533577162648339,500
LDSP,positive,c,2.796907302809287,2.6954420049835197,2.9162111961287063,500
LDSP,positive,d,0.34891713661295976,0.32618737460279185,0.3652274642191721,500
LDSP,positive,loc,0.017276126456659734,0.016676505630818347,0.019186276002789777,500
LDSP,positive,scale,16.451434811337307,15.965689931973136,17.07576102478906,500
LDSP,negative,c,3.3141624747830574,2.772767216779179,3.849389065994628,500
LDSP,negative,d,0.2546927653972847,0.21225288479436802,0.3185777763259769,500
LDSP,negative,loc,0.01686233105997058,0.01666871573117968,0.017496486406192203,500
LDSP,negative,scale,12.344479056983426,10.96282958433438,13.453121377206147,500
LDDU,positive,c,2.7166238379104874,2.5853939619155084,2.8443651028913526,500
LDDU,positive,d,0.3596561401652779,0.33276675373814807,0.38325420165336344,500
LDDU,positive,loc,0.01746944133801571,0.016679881500813863,0.020244643405738706,500
LDDU,positive,scale,15.689236094067153,14.923248816129304,16.41882848454189,500
LDDU,negative,c,3.528926464015365,3.0755021782714524,4.1528835557941015,500
LDDU,negative,d,0.24046005707169577,0.19880570478346413,0.2857387843535418,500
LDDU,negative,loc,0.01692971491661389,0.01666996766423788,0.01773022277853442,500
LDDU,negative,scale,13.572894682674411,12.39675091332,14.82885442072149,500
BKPR,positive,c,3.0478343071009157,2.8775452524426757,3.2507309390524703,500
BKPR,positive,d,0.3262707519728717,0.2958886993565017,0.34608471593581774,500
BKPR,positive,loc,0.017610168213292334,0.016686019309295013,0.02053453501286942,500
BKPR,positive,scale,18.149160706469363,17.42703360092414,18.93313366841644,500
BKPR,negative,c,3.4761736112181034,3.1011180931002307,3.9450699449531106,500
BKPR,negative,d,0.2638766391649698,0.2238702688282592,0.30306248568778915,500
BKPR,negative,loc,0.01739317936414647,0.016678561400244846,0.019517820919263115,500
BKPR,negative,scale,12.508458471364916,11.583886482666884,13.534101334374265,500
LYTV,positive,c,2.6546518874850618,2.4147269299447265,2.8334291138993204,500
LYTV,positive,d,0.6037029850771777,0.3272072887560529,0.4130089232180446,500
