Airport,Airport_Name,Delay_Type,Distribution,Shape_c,Shape_d,Location,Scale,Mean,Variance,Median,P25,P75,P90,P95,KS_Statistic,P_value,Log_Likelihood,AIC,BIC,Sample_Size,Data_Mean,Data_Std,Data_Median,Data_P90,Data_P95
EGLL,London Heathrow,positive,Burr XII,3.0887831554779734,0.37574862014600113,0.01034671382173383,30.505258272675064,22.409446275657846,479.69597783213396,17.760162258883998,9.325420683152302,29.163307596541614,43.962873254937286,56.851305076075626,0.005408375568124957,9.497963165928149e-13,-1967443.035747515,3934894.07149503,3934938.4389550057,484981,22.384221031339372,20.833137060626207,17.683333333333334,44.21666666666667,56.96666666666667
EGLL,London Heathrow,negative,Burr XII,2.7945352525769427,0.3180394498471799,0.016666666666666663,11.01322324594782,7.347503433898763,80.19923535195407,5.28732452376363,2.3421281476439915,9.609682747709886,15.403732930169287,20.564907369946443,0.020904635106770653,6.272981357297719e-29,-221986.66459415332,443981.32918830664,444018.2338934689,75070,8.018269393010968,23.26958239018805,5.05,15.266666666666667,19.69250000000005
LFPG,Paris Charles de Gaulle,positive,Burr XII,2.568944892039104,0.3856455456325905,0.01666666666666666,19.834314218178655,15.07771952423763,426.83187247992043,10.589599155478659,4.964503512099554,19.071432530951224,31.14480115931391,42.39029078209977,0.004303970434624882,5.21585073630109e-07,-1505987.4132673747,3011982.8265347495,3012026.513433475,409104,14.888272175290389,16.890190442962826,10.5,31.583333333333332,42.68333333333333
LFPG,Paris Charles de Gaulle,negative,Burr XII,3.145321865588503,0.26094251231132204,0.016666666666666663,11.841099573594416,7.000687701304635,57.14192718376582,5.224628840355593,2.2070699760513994,9.498361649381682,14.801042387078615,19.25703191839893,0.020807476163334573,2.245949384099423e-65,-503675.0146504439,1007358.0293008878,1007398.2660826865,172680,7.127849393869199,12.425048166082528,5.233333333333333,14.75,18.75
EHAM,Amsterdam Schiphol,positive,Burr XII,2.4738927605806325,0.4318164118560894,0.015208008980140518,20.37403501073938,16.7764828091808,602.2135549670121,11.673753434103903,5.673956516487599,20.844009327964176,34.28091088745205,47.06400402333631,0.0032967182677089424,0.0001001812743773674,-1722491.503720974,3444991.007441948,3445035.1233960427,455426,16.639056473133582,19.123941181005588,11.666666666666666,34.21666666666667,47.666666666666664
EHAM,Amsterdam Schiphol,negative,Burr XII,3.041447405238947,0.2943612722768204,0.016666666666666663,10.239017680707647,6.51258748525335,49.981550832674905,4.894862595105057,2.199755888070404,8.68871032710784,13.526485609045517,17.682323947545974,0.02346710723089418,1.0043204959756996e-67,-407020.84135580115,814049.6827116023,814089.0992005529,140663,7.060848624016266,14.928572740229564,4.916666666666667,14.45,18.433333333333334
EDDF,Frankfurt,positive,Burr XII,2.2254411445795053,0.4133374066426902,0.016666666666666663,19.182032111562325,15.905836011831694,1189.6937940486268,9.92554783853475,4.335064537616058,19.14968382253415,33.45466090093985,47.64669011922154,0.011140495714713428,4.950402379553849e-34,-1142551.7700097212,2285111.5400194423,2285154.1392823015,311706,14.621902743824842,17.56677538135924,9.666666666666666,32.05,44.15
EDDF,Frankfurt,negative,Burr XII,3.9171998005997395,0.24075104567398398,0.016666666666666663,15.779838072024205,9.224927057861454,61.387659489056105,7.695784841891769,3.6478543447530476,12.769241833120345,18.40652742488375,22.794256454468833,0.013420143720748567,3.0756641258832877e-41,-829671.8426733351,1659351.6853466702,1659393.5723492473,260863,9.33695924680771,12.735980288834943,7.5,18.7,22.7
LEMD,Madrid Barajas,positive,Burr XII,2.6959074506262724,0.36422782225216055,0.016666666666666656,18.773007681221785,13.667819178329706,293.4515013177244,9.85621114633072,4.629983007877772,17.54556167059458,28.167568419998787,37.846733498970494,0.004391447696678763,9.140693806227387e-06,-1142059.288327364,2284126.576654728,2284169.2649402916,318721,13.593463771344426,17.444774765817275,9.8,28.183333333333334,37.63333333333333
LEMD,Madrid Barajas,negative,Burr XII,3.550711176482803,0.24732283103934583,0.016666666666666663,12.670745456632389,7.378706422068311,48.151340222061954,5.8735087562823045,2.6328590174337494,10.164151410038084,15.159097267337135,19.173019439260106,0.02549210773995736,1.5969505519414415e-89,-469758.2385377629,939524.4770755258,939564.3537397928,157813,7.425322797657142,9.87389381653001,5.533333333333333,15.633333333333333,19.833333333333332
LEBL,Barcelona,positive,Burr XII,2.497373328378753,0.39193875941524026,0.016666666666666587,17.93084338630915,13.853580869527248,410.8357595990493,9.535462280461413,4.418637213096319,17.381546215344223,28.73503218817223,39.43806235029378,0.004637991298634375,4.1061265594067185e-05,-901074.7619574487,1802157.5239148973,1802199.2537665796,250813,13.640975813321743,15.540125283812927,9.55,28.783333333333335,39.6
LEBL,Barcelona,negative,Burr XII,3.316385494478642,0.2616882502638178,0.016666666666666663,11.753636310876008,7.007450481392015,49.36182223772716,5.423149140641443,2.3995298022320974,9.550345960605373,14.539933051189417,18.660305218197347,0.013276622769941474,1.511282852017352e-20,-384078.21871451364,768164.4374290273,768203.5812519148,131394,7.044324829647219,7.511945893920681,5.416666666666667,14.783333333333333,18.5
EDDM,Munich,positive,Burr XII,2.583005205895626,0.36943024161376725,0.01666666666666666,16.60298570237575,12.272035819670137,282.3532176727558,8.580581615151365,3.9363063854036544,15.595891526524923,25.51895294570766,34.71795473476085,0.013794813246461979,3.860387232415426e-41,-851701.2814773482,1703410.5629546964,1703452.2199659026,246287,11.877687751823416,13.449280216355241,8.333333333333334,25.416666666666668,34.166666666666664
