,EHAM,LEBL,EGLL,EGKK,LFPG,LIRF,EDDF,LEMD,EIDW,EDDM
EHAM,0,1,1,1,0,0,0,1,1,0
LEBL,1,0,0,0,0,1,0,1,0,1
EGLL,1,1,0,1,1,1,0,1,1,0
EGKK,1,1,1,0,1,1,0,1,1,1
LFPG,1,1,1,1,0,0,1,1,1,1
LIRF,1,1,0,1,0,0,1,1,1,1
EDDF,1,1,1,1,0,1,0,1,1,1
LEMD,1,1,1,1,0,1,0,0,1,1
EIDW,1,1,1,1,0,1,0,1,0,0
EDDM,1,1,1,1,1,1,0,0,1,0
