source,target,best_lag,p_value
EGKK,EDDM,8,0.07263272844785584
EGKK,EDDF,2,0.014304319726989529
EGKK,EHAM,1,0.005698957834481303
EGKK,EGLL,1,1.2160038668404366e-06
EGKK,LFPG,3,0.00036299284407421013
EGKK,LIRF,3,0.11286571263006213
EGKK,EIDW,4,0.07972699469651448
EGKK,LEBL,1,0.04258214834017052
EGKK,LEMD,5,0.147031079386334
EDDM,EGKK,1,3.303780265024293e-07
EDDM,EDDF,5,1.0373323166864124e-16
EDDM,EHAM,8,6.443675553433551e-08
EDDM,EGLL,5,5.139597715042962e-20
EDDM,LFPG,4,1.9001584629132735e-16
EDDM,LIRF,1,0.00044040523436296046
EDDM,EIDW,3,2.2406531571938375e-09
EDDM,LEBL,8,8.913418913615093e-27
EDDM,LEMD,6,2.858530375657284e-13
EDDF,EGKK,1,3.269213695341935e-08
EDDF,EDDM,8,0.0008814960711512319
EDDF,EHAM,8,8.778676860425408e-12
EDDF,EGLL,4,3.852799812599634e-25
EDDF,LFPG,6,1.9318716824566217e-12
EDDF,LIRF,2,0.0008211127095597172
EDDF,EIDW,2,2.195114074374146e-08
EDDF,LEBL,6,3.182432648640976e-22
EDDF,LEMD,6,1.717516240469858e-11
EHAM,EGKK,1,0.0020731740431499455
EHAM,EDDM,4,0.004351178927597105
EHAM,EDDF,1,0.02364181562316109
EHAM,EGLL,1,7.700347947928513e-06
EHAM,LFPG,1,0.00040274717347286965
EHAM,LIRF,1,0.24008972015249658
EHAM,EIDW,4,0.1357854297651304
EHAM,LEBL,4,2.9289298254473883e-05
EHAM,LEMD,7,0.002091166499840583
EGLL,EGKK,7,0.005909239139423161
EGLL,EDDM,7,6.891182617364206e-07
EGLL,EDDF,6,0.00044316968162882986
EGLL,EHAM,1,0.019181139336559672
EGLL,LFPG,6,0.027169025771096277
EGLL,LIRF,4,0.4185931225610101
EGLL,EIDW,4,0.0011555281732442387
EGLL,LEBL,2,1.1353237186833856e-17
EGLL,LEMD,7,6.866740210322313e-07
LFPG,EGKK,8,5.088860840401862e-07
LFPG,EDDM,1,0.027902514476564912
LFPG,EDDF,1,0.0013264840125951033
LFPG,EHAM,1,2.069997109142992e-14
LFPG,EGLL,1,1.8228267459384766e-11
LFPG,LIRF,8,0.013492738065147175
LFPG,EIDW,4,3.3942010951186614e-05
LFPG,LEBL,4,1.8408022669739448e-15
LFPG,LEMD,7,0.00020816147661173616
LIRF,EGKK,4,0.007287892243104276
LIRF,EDDM,4,6.791289814312765e-11
LIRF,EDDF,1,3.9305680201005975e-12
LIRF,EHAM,1,0.31706954416417626
LIRF,EGLL,2,1.7196331659563682e-07
LIRF,LFPG,1,0.00316353639546508
LIRF,EIDW,2,1.2527482287799274e-10
LIRF,LEBL,7,1.997568385411527e-08
LIRF,LEMD,7,0.0003111936664659746
EIDW,EGKK,8,3.2065993212483186e-06
EIDW,EDDM,5,0.0322413203826394
EIDW,EDDF,1,0.004318925562408701
EIDW,EHAM,1,0.23530761641189202
EIDW,EGLL,3,1.8904719841237288e-11
EIDW,LFPG,1,0.004365206849636153
EIDW,LIRF,3,0.00333735790162108
EIDW,LEBL,4,1.6953322542212898e-10
EIDW,LEMD,7,1.1976562510648168e-08
LEBL,EGKK,2,0.018783586648652113
LEBL,EDDM,6,4.647527668535712e-05
LEBL,EDDF,3,0.0009919498971802307
LEBL,EHAM,4,0.3941694321315473
LEBL,EGLL,4,0.1946994835867319
LEBL,LFPG,3,0.010021135566615852
LEBL,LIRF,1,0.006994972406831059
LEBL,EIDW,6,0.0033114180826308032
LEBL,LEMD,5,4.415126111831187e-06
LEMD,EGKK,4,0.002978311547066224
LEMD,EDDM,2,1.3127807235544631e-12
LEMD,EDDF,2,3.623974127018517e-07
LEMD,EHAM,1,0.001810053310909713
LEMD,EGLL,1,5.266784869930272e-07
LEMD,LFPG,2,7.17952477163916e-08
LEMD,LIRF,5,0.001671133034878336
LEMD,EIDW,2,2.261200508856568e-05
LEMD,LEBL,1,1.9009539061668756e-06
