,LYTV,LWSK,LQSA,LBSF,LDDU,LATI,BKPR,LDSP,LBBG,LDZA
LYTV,0,0,0,0,0,1,0,0,0,0
LWSK,0,0,0,0,0,0,0,0,0,0
LQSA,0,0,0,0,0,0,0,0,0,0
LBSF,0,0,0,0,0,0,0,0,0,0
LDDU,0,0,0,0,0,0,0,0,0,0
LATI,1,0,0,0,1,0,0,0,0,0
BKPR,0,0,0,0,0,1,0,0,0,0
LDSP,1,0,0,0,1,0,0,0,0,0
LBBG,0,0,0,0,0,0,0,0,0,0
LDZA,0,1,0,1,0,0,0,0,0,0
