time,airport,out_degree
2016-06-01,LDDU,4
2016-06-01,LDSP,11
2016-06-01,LDZA,12
2016-06-01,LEBL,16
2016-06-01,LEMD,13
2016-06-01,LFPG,14
2016-06-01,LIRF,15
2016-06-01,LQSA,5
2016-06-01,LWSK,2
2016-06-01,LYTV,6
2016-09-01,BKPR,2
2016-09-01,EDDF,12
2016-09-01,EDDM,13
2016-09-01,EGKK,12
2016-09-01,EGLL,10
2016-09-01,EHAM,9
2016-09-01,EIDW,10
2016-09-01,LATI,8
2016-09-01,LBBG,0
2016-09-01,LBSF,3
2016-09-01,LDDU,3
2016-09-01,LDSP,4
2016-09-01,LDZA,6
2016-09-01,LEBL,9
2016-09-01,LEMD,8
2016-09-01,LFPG,14
2016-09-01,LIRF,9
2016-09-01,LQSA,4
2016-09-01,LWSK,8
2016-09-01,LYTV,4
2016-12-01,BKPR,5
2016-12-01,EDDF,11
2016-12-01,EDDM,11
2016-12-01,EGKK,8
2016-12-01,EGLL,8
2016-12-01,EHAM,15
2016-12-01,EIDW,9
2016-12-01,LATI,1
2016-12-01,LBBG,5
2016-12-01,LBSF,2
2016-12-01,LDDU,2
2016-12-01,LDSP,0
2016-12-01,LDZA,1
2016-12-01,LEBL,12
2016-12-01,LEMD,4
2016-12-01,LFPG,10
2016-12-01,LIRF,5
2016-12-01,LQSA,6
2016-12-01,LWSK,6
2016-12-01,LYTV,3
2017-03-01,BKPR,1
2017-03-01,EDDF,9
2017-03-01,EDDM,4
2017-03-01,EGKK,4
2017-03-01,EGLL,3
2017-03-01,EHAM,5
2017-03-01,EIDW,0
2017-03-01,LATI,3
2017-03-01,LBBG,2
2017-03-01,LBSF,5
2017-03-01,LDDU,1
2017-03-01,LDSP,2
2017-03-01,LDZA,1
2017-03-01,LEBL,3
2017-03-01,LEMD,8
2017-03-01,LFPG,3
2017-03-01,LIRF,2
2017-03-01,LQSA,3
2017-03-01,LWSK,1
2017-03-01,LYTV,0
2017-06-01,BKPR,4
2017-06-01,EDDF,17
2017-06-01,EDDM,14
2017-06-01,EGKK,14
2017-06-01,EGLL,14
2017-06-01,EHAM,11
2017-06-01,EIDW,16
2017-06-01,LATI,11
2017-06-01,LBBG,4
2017-06-01,LBSF,7
2017-06-01,LDDU,10
2017-06-01,LDSP,11
2017-06-01,LDZA,11
2017-06-01,LEBL,13
2017-06-01,LEMD,15
