time,airport,in_degree
2017-09-01,BKPR,4
2017-09-01,EDDF,2
2017-09-01,EDDM,8
2017-09-01,EGKK,14
2017-09-01,EGLL,10
2017-09-01,EHAM,5
2017-09-01,EIDW,11
2017-09-01,LATI,11
2017-09-01,LBBG,1
2017-09-01,LBSF,11
2017-09-01,LDDU,7
2017-09-01,LDSP,9
2017-09-01,LDZA,7
2017-09-01,LEBL,12
2017-09-01,LEMD,10
2017-09-01,LFPG,3
2017-09-01,LIRF,5
2017-09-01,LQSA,14
2017-09-01,LWSK,8
2017-09-01,LYTV,5
2017-12-01,BKPR,8
2017-12-01,EDDF,4
2017-12-01,EDDM,7
2017-12-01,EGKK,8
2017-12-01,EGLL,7
2017-12-01,EHAM,2
2017-12-01,EIDW,9
2017-12-01,LATI,11
2017-12-01,LBBG,3
2017-12-01,LBSF,10
2017-12-01,LDDU,7
2017-12-01,LDSP,3
2017-12-01,LDZA,12
2017-12-01,LEBL,11
2017-12-01,LEMD,10
2017-12-01,LFPG,6
2017-12-01,LIRF,4
2017-12-01,LQSA,7
2017-12-01,LWSK,8
2017-12-01,LYTV,9
2018-03-01,BKPR,7
2018-03-01,EDDF,4
2018-03-01,EDDM,4
2018-03-01,EGKK,9
2018-03-01,EGLL,7
2018-03-01,EHAM,3
2018-03-01,EIDW,7
2018-03-01,LATI,6
2018-03-01,LBBG,2
2018-03-01,LBSF,7
2018-03-01,LDDU,1
2018-03-01,LDSP,6
2018-03-01,LDZA,6
2018-03-01,LEBL,9
2018-03-01,LEMD,11
2018-03-01,LFPG,5
2018-03-01,LIRF,2
2018-03-01,LQSA,10
2018-03-01,LWSK,2
2018-03-01,LYTV,5
2018-06-01,BKPR,11
2018-06-01,EDDF,2
2018-06-01,EDDM,3
2018-06-01,EGKK,13
2018-06-01,EGLL,10
2018-06-01,EHAM,5
2018-06-01,EIDW,11
2018-06-01,LATI,13
2018-06-01,LBBG,12
2018-06-01,LBSF,14
2018-06-01,LDDU,11
2018-06-01,LDSP,12
2018-06-01,LDZA,13
2018-06-01,LEBL,7
2018-06-01,LEMD,11
2018-06-01,LFPG,5
2018-06-01,LIRF,4
2018-06-01,LQSA,10
2018-06-01,LWSK,11
2018-06-01,LYTV,13
2018-09-01,BKPR,2
2018-09-01,EDDF,9
2018-09-01,EDDM,10
2018-09-01,EGKK,13
2018-09-01,EGLL,12
2018-09-01,EHAM,9
2018-09-01,EIDW,9
2018-09-01,LATI,11
2018-09-01,LBBG,5
2018-09-01,LBSF,14
2018-09-01,LDDU,7
2018-09-01,LDSP,7
2018-09-01,LDZA,9
2018-09-01,LEBL,9
2018-09-01,LEMD,10
2018-09-01,LFPG,10
2018-09-01,LIRF,4
2018-09-01,LQSA,13
2018-09-01,LWSK,2
2018-09-01,LYTV,10
2018-12-01,BKPR,4
2018-12-01,EDDF,7
2018-12-01,EDDM,7
2018-12-01,EGKK,8
2018-12-01,EGLL,6
2018-12-01,EHAM,6
2018-12-01,EIDW,8
2018-12-01,LATI,10
2018-12-01,LBBG,3
2018-12-01,LBSF,5
2018-12-01,LDDU,4
2018-12-01,LDSP,1
2018-12-01,LDZA,12
2018-12-01,LEBL,11
2018-12-01,LEMD,7
2018-12-01,LFPG,7
2018-12-01,LIRF,5
2018-12-01,LQSA,12
2018-12-01,LWSK,1
2018-12-01,LYTV,11
2019-03-01,BKPR,10
2019-03-01,EDDF,6
2019-03-01,EDDM,12
2019-03-01,EGKK,10
2019-03-01,EGLL,6
2019-03-01,EHAM,6
2019-03-01,EIDW,6
2019-03-01,LATI,8
2019-03-01,LBBG,1
2019-03-01,LBSF,13
2019-03-01,LDDU,1
2019-03-01,LDSP,5
2019-03-01,LDZA,9
2019-03-01,LEBL,12
2019-03-01,LEMD,9
2019-03-01,LFPG,5
2019-03-01,LIRF,4
2019-03-01,LQSA,11
2019-03-01,LWSK,2
2019-03-01,LYTV,12
2019-06-01,BKPR,16
2019-06-01,EDDF,2
2019-06-01,EDDM,7
2019-06-01,EGKK,13
2019-06-01,EGLL,15
2019-06-01,EHAM,14
2019-06-01,EIDW,13
2019-06-01,LATI,11
2019-06-01,LBBG,9
2019-06-01,LBSF,17
2019-06-01,LDDU,14
2019-06-01,LDSP,13
2019-06-01,LDZA,16
2019-06-01,LEBL,14
2019-06-01,LEMD,15
2019-06-01,LFPG,3
2019-06-01,LIRF,8
2019-06-01,LQSA,15
2019-06-01,LWSK,13
2019-06-01,LYTV,9
2019-09-01,BKPR,14
2019-09-01,EDDF,7
2019-09-01,EDDM,10
2019-09-01,EGKK,12
2019-09-01,EGLL,6
2019-09-01,EHAM,8
2019-09-01,EIDW,10
2019-09-01,LATI,14
2019-09-01,LBBG,1
2019-09-01,LBSF,13
2019-09-01,LDDU,10
2019-09-01,LDSP,11
2019-09-01,LDZA,14
2019-09-01,LEBL,12
2019-09-01,LEMD,9
2019-09-01,LFPG,8
2019-09-01,LIRF,6
2019-09-01,LQSA,10
2019-09-01,LWSK,11
2019-09-01,LYTV,11
2019-12-01,BKPR,2
2019-12-01,EDDF,8
2019-12-01,EDDM,7
2019-12-01,EGKK,7
2019-12-01,EGLL,8
2019-12-01,EHAM,5
2019-12-01,EIDW,8
2019-12-01,LATI,8
2019-12-01,LBBG,2
2019-12-01,LBSF,10
2019-12-01,LDDU,4
2019-12-01,LDSP,2
2019-12-01,LDZA,10
2019-12-01,LEBL,11
2019-12-01,LEMD,8
2019-12-01,LFPG,7
2019-12-01,LIRF,6
2019-12-01,LQSA,2
2019-12-01,LWSK,4
2019-12-01,LYTV,6
2020-03-01,BKPR,4
2020-03-01,EDDF,4
2020-03-01,EDDM,9
2020-03-01,EGKK,9
2020-03-01,EGLL,9
2020-03-01,EHAM,7
2020-03-01,EIDW,10
2020-03-01,LATI,1
2020-03-01,LBBG,4
2020-03-01,LBSF,8
2020-03-01,LDDU,3
2020-03-01,LDSP,6
2020-03-01,LDZA,1
2020-03-01,LEBL,1
2020-03-01,LEMD,5
2020-03-01,LFPG,8
2020-03-01,LIRF,4
2020-03-01,LQSA,6
2020-03-01,LWSK,4
2020-03-01,LYTV,3
2020-06-01,BKPR,1
2020-06-01,EDDF,5
2020-06-01,EDDM,7
2020-06-01,EGKK,3
2020-06-01,EGLL,3
2020-06-01,EHAM,2
2020-06-01,EIDW,1
2020-06-01,LATI,2
2020-06-01,LBBG,1
2020-06-01,LBSF,7
2020-06-01,LDDU,2
2020-06-01,LDSP,3
2020-06-01,LDZA,8
2020-06-01,LEBL,5
2020-06-01,LEMD,1
2020-06-01,LFPG,6
2020-06-01,LIRF,4
2020-06-01,LQSA,6
2020-06-01,LWSK,7
2020-06-01,LYTV,0
2020-09-01,BKPR,1
2020-09-01,EDDF,13
2020-09-01,EDDM,11
2020-09-01,EGKK,9
2020-09-01,EGLL,7
