,LQSA,LATI,LBSF,LDZA,LDSP,LDDU,LYTV,LWSK,LBBG,BKPR
LQSA,0,1,0,0,0,0,0,0,0,0
LATI,0,0,0,0,0,0,0,0,0,0
LBSF,0,0,0,0,0,0,0,1,0,0
LDZA,1,0,1,0,0,1,0,0,0,0
LDSP,1,0,0,0,0,0,0,0,0,0
LDDU,0,1,0,0,1,0,0,0,0,1
LYTV,1,0,0,0,1,0,0,0,0,1
LWSK,1,1,0,0,0,0,0,0,0,0
LBBG,0,0,0,0,0,0,0,0,0,0
BKPR,1,1,0,0,0,0,0,0,0,0
