source,target,best_lag,p_value
EIDW,LYTV,17,1.248365749227285e-35
LBSF,EIDW,4,1.3213667831287336e-17
LIRF,LATI,3,4.313683987345568e-15
EHAM,LIRF,24,2.0232919158770015e-14
LBSF,LFPG,4,1.7720224489743444e-13
EDDF,LBBG,20,2.7095958767628156e-13
LEMD,EGLL,2,2.427367406532634e-12
EDDM,EHAM,20,1.0450781695382155e-10
LQSA,LFPG,10,2.494148074886748e-09
EGLL,LEMD,4,4.599522375924232e-08
EHAM,EDDM,24,8.00923099391036e-08
EDDM,EDDF,5,1.7326967358279178e-07
LATI,LBSF,10,8.489959882071114e-07
EGLL,EGKK,9,4.423833669731496e-06
LATI,LEBL,21,4.8199840965982496e-06
BKPR,LDDU,4,4.9369310589061735e-06
LDSP,LBSF,12,8.096590667377727e-06
EHAM,EDDF,22,1.0215552414082102e-05
EDDM,LEBL,6,1.206088764871036e-05
LQSA,EDDM,11,3.311339159825848e-05
