,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0
LFPG,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
EHAM,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1
EDDF,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1
LEMD,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1
LEBL,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
EDDM,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
EGKK,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1
LIRF,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
EIDW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LATI,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0
LQSA,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
LBSF,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
LBBG,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
LDZA,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0
LDSP,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
LDDU,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
BKPR,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0
LYTV,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
LWSK,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
