,LYTV,BKPR,LDZA,LATI,LBSF,LBBG,LDDU,LQSA,LWSK,LDSP
LYTV,0,0,0,0,0,1,0,0,1,0
BKPR,0,0,0,1,0,0,0,0,0,0
LDZA,0,1,0,0,1,0,1,1,1,1
LATI,0,0,0,0,0,0,0,0,0,0
LBSF,0,0,0,0,0,0,0,0,0,1
LBBG,1,0,1,0,0,0,0,0,0,0
LDDU,0,0,0,0,0,0,0,0,0,1
LQSA,0,0,1,0,0,0,1,0,1,1
LWSK,0,0,0,0,0,0,0,0,0,0
LDSP,0,0,1,0,0,0,1,0,0,0
