Unnamed: 0,distribution,aic,ks_statistic,p_value,parameters
0.0,normal,6363720.36850042,0.1064864078266381,0.0,"(np.float64(391.5734390812172), np.float64(993.6717398715548))"
1.0,nct,6198031.056492079,0.0038679135172503,2.140220191005825e-05,"(np.float64(3.563722251104125), np.float64(1.1375249163290877), np.float64(-434.14521709577093), np.float64(558.2118223068442))"
2.0,lognorm,10534635.985478828,0.820439046241504,0.0,"(np.float64(8.189994554388681), np.float64(-29876.000000000004), np.float64(14.612565007926321))"
3.0,gamma,inf,0.9984004159941392,0.0,"(np.float64(0.003175617656529236), np.float64(-2050.0000000000005), np.float64(6.217623513263701))"
,burr12,10261888.809677131,0.6130149952575287,0.0,"(np.float64(0.5921846383807216), np.float64(0.2009722177595088), np.float64(-29876.000000000004), np.float64(9.396288673985275))"
,gengamma,9069029.99187661,0.9999973850671645,0.0,"(np.float64(0.00012986415168127945), np.float64(-6770.164802534342), np.float64(-43858.76561235469), np.float64(13687.804703911177))"
,lomax,10388284.314937808,0.6273319714984161,0.0,"(np.float64(0.10377615708750115), np.float64(-29876.00000267932), np.float64(1.9868132150765212))"
,invgauss,8978263.540552264,0.6464526414489202,0.0,"(np.float64(105320.49068959383), np.float64(-29910.507779563173), np.float64(30200.479892505766))"
,expon,8656312.17088678,0.60306245120957,0.0,"(-29876.0, 30267.573439081218)"
