,EHAM,LEBL,EGLL,EGKK,LFPG,LIRF,EDDF,LEMD,EIDW,EDDM
EHAM,0,1,1,1,0,0,0,0,1,1
LEBL,0,0,1,1,0,1,1,0,1,1
EGLL,1,1,0,1,1,0,0,0,1,1
EGKK,0,1,1,0,0,0,1,1,1,0
LFPG,0,1,1,0,0,0,0,0,0,0
LIRF,1,0,1,1,1,0,1,0,1,0
EDDF,1,1,1,1,1,0,0,0,1,1
LEMD,0,0,1,1,0,0,0,0,1,0
EIDW,1,1,0,0,0,0,0,0,0,1
EDDM,1,1,1,1,0,1,1,1,1,0
