,LQSA,LATI,LBSF,LDZA,LDSP,LDDU,LYTV,LWSK,LBBG,BKPR
LQSA,0,0,0,0,0,0,0,0,0,0
LATI,1,0,0,0,1,0,0,1,0,0
LBSF,0,0,0,0,0,0,0,0,0,0
LDZA,1,0,0,0,0,0,0,0,0,0
LDSP,0,0,0,1,0,0,0,0,0,0
LDDU,0,0,0,0,0,0,0,0,0,1
LYTV,0,0,0,0,1,0,0,0,0,0
LWSK,0,1,0,0,0,0,0,0,0,0
LBBG,0,0,0,0,0,0,0,0,0,0
BKPR,1,0,0,0,0,0,0,1,1,0
