,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0
LFPG,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1
EHAM,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0
EDDF,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
LEMD,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0
LEBL,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1
EDDM,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1
EGKK,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1
LIRF,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
EIDW,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1
LATI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
LQSA,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
LBSF,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1
LBBG,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1
LDZA,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1
LDSP,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1
LDDU,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0
BKPR,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1
LYTV,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0
LWSK,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0
