,LQSA,LATI,LBSF,LDZA,LDSP,LDDU,LYTV,LWSK,LBBG,BKPR
LQSA,0,1,0,0,1,1,0,0,0,0
LATI,1,0,0,0,0,0,0,0,0,0
LBSF,0,0,0,0,0,0,0,0,1,0
LDZA,0,1,0,0,1,0,0,0,1,0
LDSP,0,1,0,0,0,1,0,1,0,0
LDDU,0,1,0,0,0,0,0,0,0,1
LYTV,1,1,0,1,0,0,0,0,0,0
LWSK,1,0,1,0,0,0,0,0,0,0
LBBG,0,0,0,0,0,0,0,0,0,0
BKPR,0,0,0,1,0,0,0,0,0,0
