,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
LFPG,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EHAM,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1
EDDF,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
LEMD,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
LEBL,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1
EDDM,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
EGKK,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1
LIRF,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
EIDW,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0
LATI,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
LQSA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
LBSF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LBBG,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LDZA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
LDSP,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
LDDU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BKPR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
LYTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
LWSK,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
